agegp,alcgp,tobgp,ncases,ncontrols,percent_cases
25-34,0-39g/day,0-9g/day,0,40,0
25-34,0-39g/day,10-19,0,10,0
25-34,0-39g/day,20-29,0,6,0
25-34,0-39g/day,30+,0,5,0
25-34,40-79,0-9g/day,0,27,0
25-34,40-79,10-19,0,7,0
25-34,40-79,20-29,0,4,0
25-34,40-79,30+,0,7,0
25-34,80-119,0-9g/day,0,2,0
25-34,80-119,10-19,0,1,0
25-34,80-119,30+,0,2,0
25-34,120+,0-9g/day,0,1,0
25-34,120+,10-19,1,1,100
25-34,120+,20-29,0,1,0
25-34,120+,30+,0,2,0
35-44,0-39g/day,0-9g/day,0,60,0
35-44,0-39g/day,10-19,1,14,7.142857142857143
35-44,0-39g/day,20-29,0,7,0
35-44,0-39g/day,30+,0,8,0
35-44,40-79,0-9g/day,0,35,0
35-44,40-79,10-19,3,23,13.043478260869565
35-44,40-79,20-29,1,14,7.142857142857143
35-44,40-79,30+,0,8,0
35-44,80-119,0-9g/day,0,11,0
35-44,80-119,10-19,0,6,0
35-44,80-119,20-29,0,2,0
35-44,80-119,30+,0,1,0
35-44,120+,0-9g/day,2,3,66.66666666666667
35-44,120+,10-19,0,3,0
35-44,120+,20-29,2,4,50
45-54,0-39g/day,0-9g/day,1,46,2.1739130434782608
45-54,0-39g/day,10-19,0,18,0
45-54,0-39g/day,20-29,0,10,0
45-54,0-39g/day,30+,0,4,0
45-54,40-79,0-9g/day,6,38,15.789473684210526
45-54,40-79,10-19,4,21,19.047619047619047
45-54,40-79,20-29,5,15,33.333333333333336
45-54,40-79,30+,5,7,71.42857142857143
45-54,80-119,0-9g/day,3,16,18.75
45-54,80-119,10-19,6,14,42.857142857142854
45-54,80-119,20-29,1,5,20
45-54,80-119,30+,2,4,50
45-54,120+,0-9g/day,4,4,100
45-54,120+,10-19,3,4,75
45-54,120+,20-29,2,3,66.66666666666667
45-54,120+,30+,4,4,100
55-64,0-39g/day,0-9g/day,2,49,4.081632653061225
55-64,0-39g/day,10-19,3,22,13.636363636363637
55-64,0-39g/day,20-29,3,12,25
55-64,0-39g/day,30+,4,6,66.66666666666667
55-64,40-79,0-9g/day,9,40,22.5
55-64,40-79,10-19,6,21,28.571428571428573
55-64,40-79,20-29,4,17,23.529411764705884
55-64,40-79,30+,3,6,50
55-64,80-119,0-9g/day,9,18,50
55-64,80-119,10-19,8,15,53.333333333333336
55-64,80-119,20-29,3,6,50
55-64,80-119,30+,4,4,100
55-64,120+,0-9g/day,5,10,50
55-64,120+,10-19,6,7,85.71428571428571
55-64,120+,20-29,2,3,66.66666666666667
55-64,120+,30+,5,6,83.33333333333333
65-74,0-39g/day,0-9g/day,5,48,10.416666666666666
65-74,0-39g/day,10-19,4,14,28.571428571428573
65-74,0-39g/day,20-29,2,7,28.571428571428573
65-74,0-39g/day,30+,0,2,0
65-74,40-79,0-9g/day,17,34,50
65-74,40-79,10-19,3,10,30
65-74,40-79,20-29,5,9,55.55555555555556
65-74,80-119,0-9g/day,6,13,46.15384615384615
65-74,80-119,10-19,4,12,33.333333333333336
65-74,80-119,20-29,2,3,66.66666666666667
65-74,80-119,30+,1,1,100
65-74,120+,0-9g/day,3,4,75
65-74,120+,10-19,1,2,50
65-74,120+,20-29,1,1,100
65-74,120+,30+,1,1,100
75+,0-39g/day,0-9g/day,1,18,5.555555555555555
75+,0-39g/day,10-19,2,6,33.333333333333336
75+,0-39g/day,30+,1,3,33.333333333333336
75+,40-79,0-9g/day,2,5,40
75+,40-79,10-19,1,3,33.333333333333336
75+,40-79,20-29,0,3,0
75+,40-79,30+,1,1,100
75+,80-119,0-9g/day,1,1,100
75+,80-119,10-19,1,1,100
75+,120+,0-9g/day,2,2,100
75+,120+,10-19,1,1,100
